Brand,fueltype,symboling,doornumber,carbody,drivewheel,cylindernumber,enginesize,horsepower,price
buick,gas,3,two,convertible,rwd,8,234,155,35056.0
buick,gas,0,four,sedan,rwd,8,308,184,40960.0
buick,gas,1,two,hardtop,rwd,8,304,184,45400.0
mercury,gas,1,two,hatchback,rwd,4,140,175,16503.0
mitsubishi,gas,2,two,hatchback,fwd,4,92,68,5389.0
mitsubishi,gas,2,two,hatchback,fwd,4,92,68,6189.0
mitsubishi,gas,2,two,hatchback,fwd,4,92,68,6669.0
mitsubishi,gas,1,two,hatchback,fwd,4,98,102,7689.0
mitsubishi,gas,3,two,hatchback,fwd,4,110,116,9959.0
mitsubishi,gas,3,two,hatchback,fwd,4,122,88,8499.0
mitsubishi,gas,3,two,hatchback,fwd,4,156,145,12629.0
mitsubishi,gas,3,two,hatchback,fwd,4,156,145,14869.0
mitsubishi,gas,3,two,hatchback,fwd,4,156,145,14489.0
mitsubishi,gas,1,four,sedan,fwd,4,122,88,6989.0
mitsubishi,gas,1,four,sedan,fwd,4,122,88,8189.0
mitsubishi,gas,1,four,sedan,fwd,4,110,116,9279.0
mitsubishi,gas,-1,four,sedan,fwd,4,110,116,9279.0
nissan,gas,1,two,sedan,fwd,4,97,69,5499.0
nissan,diesel,1,two,sedan,fwd,4,103,55,7099.0
nissan,gas,1,two,sedan,fwd,4,97,69,6649.0
nissan,gas,1,four,sedan,fwd,4,97,69,6849.0
nissan,gas,1,four,wagon,fwd,4,97,69,7349.0
nissan,gas,1,two,sedan,fwd,4,97,69,7299.0
nissan,gas,1,two,hatchback,fwd,4,97,69,7799.0
nissan,gas,1,four,sedan,fwd,4,97,69,7499.0
nissan,gas,1,four,wagon,fwd,4,97,69,7999.0
nissan,gas,2,two,hardtop,fwd,4,97,69,8249.0
nissan,gas,0,four,hatchback,fwd,4,120,97,8949.0
nissan,gas,0,four,sedan,fwd,4,120,97,9549.0
nissan,gas,0,four,sedan,fwd,6,181,152,13499.0
nissan,gas,0,four,wagon,fwd,6,181,152,14399.0
nissan,gas,3,two,hatchback,rwd,6,181,160,17199.0
nissan,gas,3,two,hatchback,rwd,6,181,200,19699.0
nissan,gas,1,two,hatchback,rwd,6,181,160,18399.0
peugeot,gas,0,four,sedan,rwd,4,120,97,11900.0
peugeot,diesel,0,four,sedan,rwd,4,152,95,13200.0
peugeot,gas,0,four,wagon,rwd,4,120,97,12440.0
peugeot,diesel,0,four,wagon,rwd,4,152,95,13860.0
peugeot,gas,0,four,sedan,rwd,4,120,95,15580.0
peugeot,diesel,0,four,sedan,rwd,4,152,95,16900.0
peugeot,gas,0,four,wagon,rwd,4,120,95,16695.0
peugeot,diesel,0,four,wagon,rwd,4,152,95,17075.0
peugeot,gas,0,four,sedan,rwd,4,120,97,16630.0
peugeot,diesel,0,four,sedan,rwd,4,152,95,17950.0
peugeot,gas,0,four,sedan,rwd,4,134,142,18150.0
plymouth,gas,1,two,hatchback,fwd,4,90,68,5572.0
plymouth,gas,1,two,hatchback,fwd,4,98,102,7957.0
plymouth,gas,1,four,hatchback,fwd,4,90,68,6229.0
plymouth,gas,1,four,sedan,fwd,4,90,68,6692.0
plymouth,gas,1,four,sedan,fwd,4,98,68,7609.0
plymouth,gas,-1,four,wagon,fwd,4,122,88,8921.0
plymouth,gas,3,two,hatchback,rwd,4,156,145,12764.0
porsche,gas,3,two,hatchback,rwd,4,151,143,22018.0
porsche,gas,3,two,hardtop,rwd,6,194,207,32528.0
porsche,gas,3,two,hardtop,rwd,6,194,207,34028.0
porsche,gas,3,two,convertible,rwd,6,194,207,37028.0
porsche,gas,1,two,hatchback,rwd,8,203,288,31400.5
renault,gas,0,four,wagon,fwd,4,132,90,9295.0
renault,gas,2,two,hatchback,fwd,4,132,90,9895.0
saab,gas,3,two,hatchback,fwd,4,121,110,11850.0
saab,gas,2,four,sedan,fwd,4,121,110,12170.0
saab,gas,3,two,hatchback,fwd,4,121,110,15040.0
saab,gas,2,four,sedan,fwd,4,121,110,15510.0
saab,gas,3,two,hatchback,fwd,4,121,160,18150.0
saab,gas,2,four,sedan,fwd,4,121,160,18620.0
subaru,gas,2,two,hatchback,fwd,4,97,69,5118.0
subaru,gas,2,two,hatchback,fwd,4,108,73,7053.0
subaru,gas,2,two,hatchback,4wd,4,108,73,7603.0
subaru,gas,0,four,sedan,fwd,4,108,82,7126.0
subaru,gas,0,four,sedan,fwd,4,108,82,7775.0
subaru,gas,0,four,sedan,fwd,4,108,94,9960.0
subaru,gas,0,four,sedan,4wd,4,108,82,9233.0
subaru,gas,0,four,sedan,4wd,4,108,111,11259.0
subaru,gas,0,four,wagon,fwd,4,108,82,7463.0
subaru,gas,0,four,wagon,fwd,4,108,94,10198.0
subaru,gas,0,four,wagon,4wd,4,108,82,8013.0
subaru,gas,0,four,wagon,4wd,4,108,111,11694.0
toyota,gas,1,two,hatchback,fwd,4,92,62,5348.0
toyota,gas,1,two,hatchback,fwd,4,92,62,6338.0
toyota,gas,1,four,hatchback,fwd,4,92,62,6488.0
toyota,gas,0,four,wagon,fwd,4,92,62,6918.0
toyota,gas,0,four,wagon,4wd,4,92,62,7898.0
toyota,gas,0,four,wagon,4wd,4,92,62,8778.0
toyota,gas,0,four,sedan,fwd,4,98,70,6938.0
toyota,gas,0,four,hatchback,fwd,4,98,70,7198.0
toyota,diesel,0,four,sedan,fwd,4,110,56,7898.0
toyota,diesel,0,four,hatchback,fwd,4,110,56,7788.0
toyota,gas,0,four,sedan,fwd,4,98,70,7738.0
toyota,gas,0,four,hatchback,fwd,4,98,70,8358.0
toyota,gas,0,four,sedan,fwd,4,98,70,9258.0
toyota,gas,1,two,sedan,rwd,4,98,70,8058.0
toyota,gas,1,two,hatchback,rwd,4,98,70,8238.0
toyota,gas,1,two,sedan,rwd,4,98,112,9298.0
toyota,gas,1,two,hatchback,rwd,4,98,112,9538.0
toyota,gas,2,two,hardtop,rwd,4,146,116,8449.0
toyota,gas,2,two,hardtop,rwd,4,146,116,9639.0
toyota,gas,2,two,hatchback,rwd,4,146,116,9989.0
toyota,gas,2,two,hardtop,rwd,4,146,116,11199.0
toyota,gas,2,two,hatchback,rwd,4,146,116,11549.0
toyota,gas,2,two,convertible,rwd,4,146,116,17669.0
toyota,gas,-1,four,sedan,fwd,4,122,92,8948.0
toyota,diesel,-1,four,sedan,fwd,4,110,73,10698.0
toyota,gas,-1,four,hatchback,fwd,4,122,92,9988.0
toyota,gas,-1,four,sedan,fwd,4,122,92,10898.0
toyota,gas,-1,four,hatchback,fwd,4,122,92,11248.0
toyota,gas,3,two,hatchback,rwd,6,171,161,16558.0
toyota,gas,3,two,hatchback,rwd,6,171,161,15998.0
toyota,gas,-1,four,sedan,rwd,6,171,156,15690.0
toyota,gas,-1,four,wagon,rwd,6,161,156,15750.0
volkswagen,diesel,2,two,sedan,fwd,4,97,52,7775.0
volkswagen,gas,2,two,sedan,fwd,4,109,85,7975.0
volkswagen,diesel,2,four,sedan,fwd,4,97,52,7995.0
volkswagen,gas,2,four,sedan,fwd,4,109,85,8195.0
volkswagen,gas,2,four,sedan,fwd,4,109,85,8495.0
volkswagen,diesel,2,four,sedan,fwd,4,97,68,9495.0
volkswagen,gas,2,four,sedan,fwd,4,109,100,9995.0
volkswagen,gas,3,two,convertible,fwd,4,109,90,11595.0
volkswagen,gas,3,two,hatchback,fwd,4,109,90,9980.0
volkswagen,gas,0,four,sedan,fwd,5,136,110,13295.0
volkswagen,diesel,0,four,sedan,fwd,4,97,68,13845.0
volkswagen,gas,0,four,wagon,fwd,4,109,88,12290.0
volvo,gas,-2,four,sedan,rwd,4,141,114,12940.0
volvo,gas,-1,four,wagon,rwd,4,141,114,13415.0
volvo,gas,-2,four,sedan,rwd,4,141,114,15985.0
volvo,gas,-1,four,wagon,rwd,4,141,114,16515.0
volvo,gas,-2,four,sedan,rwd,4,130,162,18420.0
volvo,gas,-1,four,wagon,rwd,4,130,162,18950.0
volvo,gas,-1,four,sedan,rwd,4,141,114,16845.0
volvo,gas,-1,four,sedan,rwd,4,141,160,19045.0
volvo,gas,-1,four,sedan,rwd,6,173,134,21485.0
volvo,diesel,-1,four,sedan,rwd,6,145,106,22470.0
volvo,gas,-1,four,sedan,rwd,4,141,114,22625.0
